sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_555,106,101,0.1068065415878467,0.09719258068820738,0.000394230203079,0.014300424753321961,6.597736945655791e-05,-0.0016739890587563885
sensor_162,103,129,0.1078900510169659,0.07544921920574697,0.0006869103246506,0.014537530976268297,-3.4085642513454804e-05,-0.003777936091603982
sensor_269,107,104,0.1048556615309261,0.09406428361702604,0.0004890445696246,0.01870286518942741,0.0001210455401019,0.0028780714846600775
sensor_218,117,105,0.0951505631603486,0.09288183226749551,0.0007591540310236,0.03680472064054806,-0.0001937476747851,0.005668845356302368
sensor_273,105,146,0.1068142801846607,0.05625658038747407,0.0007580126161286,0.011385785000627506,-0.0001936943146275,0.000993930290440518
sensor_473,110,106,0.1028943273398959,0.0912926099301451,0.0004738155491158,0.017082986019065688,9.85179086976667e-05,0.003061920438142523
sensor_029,148,108,0.0751249949168585,0.08895219595389,0.0004110810423378,0.02670198196591217,-0.0001421587881247,-0.009272761983333338
sensor_066,108,165,0.1044740866078884,0.04417298009296319,0.0008228372448187,0.010105046866755278,0.0003278152432197,0.004029870414052569
sensor_138,116,109,0.0969253536946459,0.08786498935858345,0.0004144269210477,0.014819506960898737,7.035335674107233e-05,-0.0040061907275572625
sensor_589,121,111,0.092393477651884,0.08729382650751022,0.0003505404499305,0.014572759472237315,0.0001071875158341,0.0038042317155755137
sensor_474,112,112,0.1013867197832317,0.08723124615879081,0.000458102076419,0.01401796080057872,-9.36140386966532e-05,-0.005236003533463279
sensor_133,155,113,0.069546415902794,0.0867681216617523,0.0006163027011541,0.03903133211358952,0.0005624743692733,0.026419610720471103
sensor_044,130,114,0.0833464112700857,0.08594992156639314,0.000538740101137,0.025776582459072363,-3.891062655255469e-05,-0.0071874562929937335
sensor_001,115,126,0.097405085920245,0.0768398157314892,0.0006176917183421,0.022246927206280673,-0.0002939520058659,-0.002847748340063643
sensor_045,140,115,0.0786743706385968,0.08487116227326029,0.0006194377992767,0.033354278376498736,-4.100529475293299e-05,-0.00280812362308085
sensor_551,127,118,0.0843816447841287,0.08252386597547276,0.0004028310248761,0.017189637704144677,-7.85872458513543e-05,0.007392994676889761
sensor_098,119,132,0.092621626193052,0.07145314366433267,0.0005104606112259,0.012673941835131534,3.803600167782525e-05,0.00274304978538715
sensor_142,183,119,0.0503480994324345,0.08244904119227553,0.0004148955703892,0.038427499719809396,-8.601447432155087e-05,-0.0032544444842779
sensor_150,120,130,0.0925513150250048,0.07494626132745401,0.0005043231287801,0.015144237640058355,-5.454707946011968e-05,-0.0013301421919768225
sensor_486,164,120,0.0645997500234908,0.08225456354930898,0.0006721187150102,0.04472572408914994,0.0002138148615264,0.003764911754744066
